,min,max,mean,med,std,label
0,-452.77755777463915,-135.31404752989707,-325.44872554065716,-349.75937073098055,120.39987726298168,AF
1,-386.79820922120643,-64.98510978639688,-292.58179987581144,-350.7809675522486,124.69873099147591,AF
2,-319.83990164536374,-114.71262336320328,-170.35730901857534,-147.05627746524826,74.67006154546249,AF
3,-466.5200418978582,-100.1640899798164,-308.0422263460107,-371.6014949688782,164.3738522933944,AF
4,-514.0938938643721,228.28725774523926,-11.58660249876195,92.34520909113647,280.6021571250303,AF
5,-471.0816058699085,42.45650390362963,-90.39569988414313,-24.590897600759515,191.5310540734212,AF
6,-143.42867376989045,142.8544266134311,14.8736811769809,41.17003147070113,116.8976854883002,AF
7,-590.5322193395784,-89.57416498346024,-401.257240061751,-460.2180805900289,196.14659429389116,AF
8,-357.8079148885713,-68.2765261205547,-200.6922689962597,-203.25624341426567,94.03908576405375,AF
9,-584.4844332521168,-100.26245729155295,-390.4139751876119,-454.21088926936693,199.22085682444367,AF
10,-230.19052531887655,-77.33795351872791,-115.86046576229384,-97.4632041932964,58.271604079571084,AF
12,-162.30221289248436,17.700992602828684,-107.12582067054811,-125.35565579511669,64.16728417465778,N
13,-596.0856840681015,455.54092725958236,83.44035295136622,211.80778977971173,394.45901727871836,N
14,-289.4656065815371,-30.007820731312165,-191.72466013500457,-206.73516028577288,93.66213359820794,N
15,-781.0675083836201,428.1538027281185,36.712276731996724,214.75111866253656,458.5179256608686,N
16,-896.3392926593872,-68.2090623049184,-520.1706687758747,-629.4911323906604,359.5926269175941,N


19,-737.6524333662776,178.9132057677207,-81.0604495963211,47.90878932773133,347.75336188329464,N
20,-1043.1884569222168,-86.99749916529326,-603.7392501515254,-734.002897286235,422.1827336065318,N
21,-408.427245706704,339.36663662528343,61.03424913113399,152.12563626652656,284.4512545746727,N
