min,max,mean,med,std,label
-341.1362278164487,-263.8245246189378,-290.81147751800154,-274.1764927312205,31.550814558237697,AF
-241.0780896556067,-172.60934111202374,-217.2393760410856,-232.0950931800426,27.841340013379806,AF
-143.86719496284113,-113.53301300684365,-124.11921780407951,-117.62450198940294,12.32127283547606,AF
-178.4180960264922,-42.93903692745562,-90.175157610337,-60.99884721907723,55.055514576870216,AF
-751.1870891806433,318.30275781965247,-54.44658929094269,176.74115761304114,434.7386768497811,N
-390.2992273627858,-345.10538319375763,-374.6121963791501,-383.59961099474214,18.308660186506074,AF
-244.917676217827,-223.47202039871414,-237.43598762608775,-242.13693353683564,8.73310992604515,AF
-165.00129707034176,-137.6101928041103,-147.1696914418472,-141.4097813693575,11.117006517057721,AF
-188.11493953199798,-58.81671254512288,-103.88965929453389,-76.0584849657487,52.546467460403875,AF
-742.6761557105142,307.9443937044661,-58.21296757464869,168.54596160931442,427.03762097686325,N
-386.3012092704174,-348.8815658168608,-361.9884287118219,-354.2944893578533,15.349427505456353,AF
-139.9496235663393,-132.8552925205087,-135.3405349321054,-133.8611146243047,2.8763105955951187,AF
-597.8735698114674,224.01299143290527,-62.37010235439924,113.39518949013303,333.8982670109284,N
-415.8042402515622,-207.30148495138985,-279.99037589215243,-234.29277966932048,84.9314323650934,AF
-260.66984731314864,-182.16979606338802,-233.34176551592012,-250.44501630961545,31.923392023861947,AF
-157.3998973438006,-109.65681615487213,-126.3261116292063,-116.43998912781531,19.358039589677922,AF
-623.287436575589,215.73359229011868,-76.68276745897545,105.57146979591093,341.15048374508206,N
-374.0102304217952,-222.90639316155975,-321.40766482539584,-353.9677484505855,61.424379867454974,AF
-181.92283769174543,-145.8784561127027,-169.36936880993503,-177.10160818496223,14.645635891655886,AF
-528.4486079316226,156.786466109518,-81.99715150915438,64.28914305257179,278.34999884213767,AF
-376.61474552366485,-195.97194474779425,-258.93702033053614,-219.3527480117776,73.58401744806963,AF
-225.14114172514226,-193.7505885898882,-214.21556318031276,-220.98521213666032,12.758525640694025,AF
-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988426,AF
-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.39872392010162,45.597396992682526,AF
-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF
-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF
-746.5920670191945,343.73278246314794,-36.203530328183476,197.59665796638734,443.02066565480146,N
-447.61666954721335,-311.3344685641136,-358.877117371037,-329.54261321037535,55.62590188550306,AF
-327.38306252536546,-188.79879424181374,-279.10563639183243,-309.2469635193255,56.355447513375104,AF
-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,AF
-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF
-195.07950627744046,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF
-200.04758039330284,-62.77606604339968,-110.68655659366148,-81.86488420415708,55.69891506138182,AF
-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988426,AF
-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.39872392010162,45.597396992682526,AF
-125.2031246491596,-82.91568703318744,-97.65486335418524,-88.70503898519259,17.169026002796677,AF
-141.44027952998826,-39.06933068970128,-74.74943576115639,-52.62108565840082,41.61105149398389,AF
-746.5920670191945,343.73278246314794,-36.203530328183476,197.59665796638734,443.02066565480146,N
-447.61666954721335,-311.3344685641136,-358.877117371037,-329.54261321037535,55.62590188550306,AF
-327.38306252536546,-188.79879424181374,-279.10563639183243,-309.2469635193255,56.355447513375104,AF
-516.4973967784737,76.11177669717848,-130.3802015572443,-4.351810189185431,240.67600837561,AF
-272.93854972656163,-269.89211655644965,-271.65488574516246,-272.0098308971173,1.247674917081282,AF
-195.07950627744046,-154.52440969237645,-180.97224933523503,-189.87561970687625,16.522194628703122,AF
-200.04758039330284,-62.77606604339968,-110.68655659366148,-81.86488420415708,55.69891506138182,AF
-318.37779649648,-23.7904440842613,-126.5535474691743,-64.55269423354022,119.5508436313815,AF
-558.1857717071614,29.150349264732316,-175.55016867044074,-47.0950855196035,238.9070681796222,AF
-344.9750639499369,-193.8568933936763,-292.31807564324885,-325.3876859145958,61.4723100595159,AF
