Time,II,PLETH
00:38:33.3,30.61,-137
00:38:33.3,42.85,-142
00:38:33.3,53.41,-146
00:38:33.3,63.25,-151
00:38:33.4,59.39,-151
00:38:33.4,51.18,-151
00:38:33.4,44.25,-149
00:38:33.4,36.85,-146
00:38:33.4,30.72,-142
00:38:33.5,14.11,-140
00:38:33.5,-168.9,-137
00:38:33.5,-286.79,-136
00:38:33.5,-265.66,-134
00:38:33.6,-101.87,-133
00:38:33.6,93.59,-130
00:38:33.6,223.65,-127
00:38:33.6,237.97,-123
00:38:33.6,221.12,-122
00:38:33.7,202.71,-121
00:38:33.7,187.12,-119
00:38:33.7,172.45,-116
00:38:33.7,165.3,-114
00:38:33.7,157.55,-115
00:38:33.7,137.07,-115
00:38:33.7,89.23,-114
00:38:33.8,32.33,-112
00:38:33.8,-21.73,-107
00:38:33.8,-77.16,-107
00:38:33.8,-118.54,-106
00:38:33.8,-148.09,-107
00:38:33.9,-149.6,-105
00:38:33.9,-142.03,-102
00:38:33.9,-127.61,-103
00:38:33.9,-108.55,-102
00:38:33.9,-105.99,-102
00:38:34,-110.94,-100
00:38:34,-111.46,-98
00:38:34,-107.04,-99
00:38:34,-99.48,-100
00:38:34,-87.22,-100
00:38:34.1,-60.24,-100
00:38:34.1,-30.81,-99
00:38:34.1,-12.84,-98
00:38:34.2,6.51,-97
00:38:34.2,17.04,-97
00:38:34.2,27.26,-97
00:38:34.2,35.84,-96
00:38:34.2,41.91,-94
00:38:34.3,45.24,-93
00:38:34.3,42.79,-93
00:38:34.3,37.46,-93
00:38:34.3,27.99,-92
00:38:34.3,16.8,-93
00:38:34.4,6.2,-93
00:38:34.4,-3.35,-92
00:38:34.4,45.9,-92
00:38:34.4,154.41,-92
00:38:34.4,166.93,-92
00:38:34.4,47.81,-94
00:38:34.4,-67.82,-92
00:38:34.5,-62.43,-93
00:38:34.5,-51.48,-94
00:38:34.5,-37.99,-93
00:38:34.5,-17.41,-94
00:38:34.5,2.64,-93
00:38:34.6,8.76,-95
00:38:34.6,7.18,-98
00:38:34.6,4.99,-105
00:38:34.6,3.43,-113
00:38:34.6,3.28,-122
00:38:34.7,9.4,-130
00:38:34.7,24.2,-136
00:38:34.7,39.27,-141
00:38:34.7,47.3,-146
00:38:34.8,51.9,-149
00:38:34.8,54.52,-151
00:38:34.8,47.74,-151
00:38:34.8,41.02,-149
00:38:34.8,35.56,-145
00:38:34.8,31.09,-142
00:38:34.9,-88.02,-142
00:38:34.9,-287.89,-141
00:38:34.9,-275.59,-140
00:38:34.9,-155.14,-138
00:38:34.9,17.44,-134
00:38:35,196.17,-131
00:38:35,234.94,-131
00:38:35,218.42,-129
00:38:35.1,202.44,-126
00:38:35.1,188.87,-123
00:38:35.1,186.94,-119
00:38:35.1,183.72,-120
00:38:35.1,177.68,-119
00:38:35.1,159.97,-117
00:38:35.1,106.45,-116
00:38:35.2,26.26,-114
00:38:35.2,-48.57,-115
00:38:35.3,-103.45,-114
00:38:35.3,-143.69,-111
00:38:35.3,-161.38,-109
00:38:35.3,-164.72,-106
00:38:35.3,-154.59,-106
00:38:35.3,-139.74,-106
00:38:35.3,-120.98,-104
00:38:35.4,-105.19,-102
00:38:35.4,-95.3,-100
00:38:35.4,-83.19,-101
00:38:35.4,-62.99,-101
00:38:35.4,-35.36,-102
00:38:35.5,-17.98,-100
00:38:35.5,-7.98,-100
00:38:35.5,-3.57,-99
00:38:35.5,-0.69,-97
00:38:35.5,3.19,-96
00:38:35.6,9.92,-97
00:38:35.6,14.73,-97
00:38:35.6,16.38,-94
