Time and date,II,PLETH
12:12:00.000 07/10/1995,0.057,-0.520
12:12:00.002 07/10/1995,0.058,-0.520
12:12:00.004 07/10/1995,0.058,-0.520
12:12:00.006 07/10/1995,0.058,-0.520
12:12:00.008 07/10/1995,0.057,-0.533
12:12:00.010 07/10/1995,0.056,-0.533
12:12:00.012 07/10/1995,0.055,-0.533
12:12:00.014 07/10/1995,0.053,-0.533
12:12:00.016 07/10/1995,0.051,-0.541
12:12:00.018 07/10/1995,0.050,-0.541
12:12:00.020 07/10/1995,0.046,-0.541
12:12:00.022 07/10/1995,0.043,-0.541
12:12:00.024 07/10/1995,0.039,-0.546
12:12:00.026 07/10/1995,0.036,-0.546
12:12:00.028 07/10/1995,0.031,-0.546
12:12:00.030 07/10/1995,0.026,-0.546
12:12:00.032 07/10/1995,0.019,-0.549
12:12:00.034 07/10/1995,0.013,-0.549
12:12:00.036 07/10/1995,0.006,-0.549
12:12:00.038 07/10/1995,-0.001,-0.549
12:12:00.040 07/10/1995,-0.010,-0.539
12:12:00.042 07/10/1995,-0.018,-0.539
12:12:00.044 07/10/1995,-0.028,-0.539
12:12:00.046 07/10/1995,-0.037,-0.539
12:12:00.048 07/10/1995,-0.046,-0.518
12:12:00.050 07/10/1995,-0.055,-0.518
12:12:00.052 07/10/1995,-0.064,-0.518
12:12:00.054 07/10/1995,-0.073,-0.518
12:12:00.056 07/10/1995,-0.084,-0.484
12:12:00.058 07/10/1995,-0.094,-0.484
12:12:00.060 07/10/1995,-0.102,-0.484
12:12:00.062 07/10/1995,-0.110,-0.484
12:12:00.064 07/10/1995,-0.116,-0.430
12:12:00.066 07/10/1995,-0.122,-0.430
12:12:00.068 07/10/1995,-0.127,-0.430
12:12:00.070 07/10/1995,-0.133,-0.430
12:12:00.072 07/10/1995,-0.136,-0.363
12:12:00.074 07/10/1995,-0.138,-0.363
12:12:00.076 07/10/1995,-0.138,-0.363
12:12:00.078 07/10/1995,-0.138,-0.363
12:12:00.080 07/10/1995,-0.136,-0.273
12:12:00.082 07/10/1995,-0.133,-0.273
12:12:00.084 07/10/1995,-0.129,-0.273
12:12:00.086 07/10/1995,-0.125,-0.273
12:12:00.088 07/10/1995,-0.121,-0.175
12:12:00.090 07/10/1995,-0.117,-0.175
12:12:00.092 07/10/1995,-0.111,-0.175
12:12:00.094 07/10/1995,-0.106,-0.175
12:12:00.096 07/10/1995,-0.100,-0.064
12:12:00.098 07/10/1995,-0.095,-0.064
12:12:00.100 07/10/1995,-0.090,-0.064
12:12:00.102 07/10/1995,-0.085,-0.064
12:12:00.104 07/10/1995,-0.079,0.053
12:12:00.106 07/10/1995,-0.073,0.053
12:12:00.108 07/10/1995,-0.070,0.053
12:12:00.110 07/10/1995,-0.066,0.053
12:12:00.112 07/10/1995,-0.062,0.166
12:12:00.114 07/10/1995,-0.057,0.166
12:12:00.116 07/10/1995,-0.053,0.166
12:12:00.118 07/10/1995,-0.049,0.166
12:12:00.120 07/10/1995,-0.044,0.271
12:12:00.122 07/10/1995,-0.040,0.271
12:12:00.124 07/10/1995,-0.037,0.271
12:12:00.126 07/10/1995,-0.033,0.271
